,avg_hr_bpm,max_hr_bpm,z1_min,z2_min,z3_min,z4_min,z5_min
avg_hr_bpm,,,,,,,
max_hr_bpm,,,,,,,
z1_min,,,1.0,0.40740815522267176,-0.031095912643236634,-0.13909384532645172,-0.1434280996071934
z2_min,,,0.40740815522267176,1.0,0.562416121756015,0.27502369214845684,0.07646063257625729
z3_min,,,-0.031095912643236634,0.562416121756015,1.0,0.6531051288414677,0.3330511593179219
z4_min,,,-0.13909384532645172,0.27502369214845684,0.6531051288414677,1.0,0.6731748104803197
z5_min,,,-0.1434280996071934,0.07646063257625729,0.3330511593179219,0.6731748104803197,1.0
