month,avg_pace,median_pace,avg_miles_per_workout,total_miles,workouts
2019-02,,,,0.0,1
2019-04,,,,0.0,11
2019-06,,,,0.0,1
2019-07,,,,0.0,1
2019-09,,,,0.0,2
2019-12,,,,0.0,1
2020-01,,,,0.0,20
2020-03,,,,0.0,2
2020-04,,,,0.0,1
2020-07,,,,0.0,1
2020-08,,,,0.0,1
2020-09,,,,0.0,1
2020-10,16.624249752906213,16.624249752906213,1.3634734403878235,1.3634734403878235,1
2020-11,17.305509490106434,17.75833115302691,1.6262418604342952,16.26241860434295,11
2020-12,18.01107172212013,18.01107172212013,1.8213075639547607,3.6426151279095214,2
2021-01,15.292142516802722,16.107682315753998,2.211803791602816,22.11803791602816,10
2021-02,16.8689793395106,16.871961752700134,2.2928330382607864,11.464165191303932,5
2021-03,18.307512692164643,17.462575454239495,2.1765731755630293,19.589158580067263,9
2021-04,17.923703898299127,17.73720856978611,1.9553054384425308,15.642443507540246,8
2021-10,21.30844692773217,21.30844692773217,0.22305128332022572,0.44610256664045145,2
2021-12,,,,0.0,2
2022-02,16.74739110208673,17.098579418933447,3.24353465108029,32.4353465108029,10
2022-03,17.49600881203615,17.481157882025972,2.5474621603874175,43.3068567265861,17
2022-04,17.872640584567545,17.148323419706553,3.039682166779657,72.95237200271177,26
2022-05,17.5275941342226,17.497597829913865,2.7383361157594903,35.598369504873375,13
2022-06,17.877015449918215,17.962435074863446,3.1126257610718344,12.450503044287338,4
2022-08,19.304189415795776,19.220110022637137,1.1642530563789932,4.657012225515973,4
2022-10,21.348954949326664,21.375176760727598,2.2843456458783455,9.137382583513382,4
2022-11,19.075766757471683,19.075766757471683,1.9579864499264443,1.9579864499264443,1
2022-12,29.434018423096994,29.434018423096994,0.3244553155862877,0.3244553155862877,1
2023-01,,,,0.0,2
2023-04,16.70851643859799,16.720928737991798,2.115719429364854,8.462877717459415,4
2023-05,17.660173163139422,17.499525362719286,1.6469954834795792,11.528968384357055,8
2023-06,16.173096337172375,17.993001774342527,3.0994320462940848,18.596592277764508,7
2023-07,14.65385143547272,16.69924805807188,2.2933950119011945,9.173580047604778,7
2023-08,17.781436186481024,17.728316187084797,2.2192880706901783,19.973592636211606,11
2023-09,19.488001469660993,20.96996187158117,2.50156149817729,12.50780749088645,5
2023-10,17.55970829296834,17.55970829296834,0.4527421314189231,0.4527421314189231,2
2023-11,4.419985675238049,4.419985675238049,0.015083042630556173,0.015083042630556173,2
2023-12,,,,0.0,1
2024-01,,,,0.0,17
2024-02,17.034041963620908,17.034041963620908,3.5834438919151785,7.166887783830357,4
2024-03,17.50477044852266,17.694943233727365,2.6844188605089716,16.10651316305383,7
2024-04,17.49237681290869,17.732150849048026,3.4483536848522496,27.586829478817997,8
2024-05,19.579212537106606,19.49726303509716,2.0011042025223857,20.01104202522386,12
2024-06,19.457682547706227,20.024910557267994,1.6539766374636347,29.771579474345423,19
2024-07,17.992059353172433,18.029967165456483,3.27631611280696,36.03947724087656,11
2024-08,15.297091833983803,14.989966458430773,2.696920568487881,45.84764966429398,18
2024-09,16.909560489599926,16.527934158439173,2.104037612736373,10.520188063681866,5
2024-10,15.559101585365704,18.34341423588915,1.188682283928002,3.566046851784006,3
2024-11,18.682782077357828,18.682782077357828,2.5504830188750147,2.5504830188750147,1
2025-01,,,,0.0,2
2025-03,18.35018098595446,17.20637025360522,3.2212554338762063,16.10627716938103,5
2025-04,18.634085781002778,18.111313707187662,3.298531809955302,26.388254479642416,8
2025-05,18.022855698635777,17.6154755337495,3.5616548994169603,24.93158429591872,7
2025-06,18.441872846827668,18.423372891749278,3.5392124881507208,14.156849952602883,4
2025-07,18.520091654230917,17.51689233070816,4.001535008661368,16.006140034645473,4
2025-08,19.05226779020025,18.08739928688102,4.146671474368214,41.46671474368214,10
