week,weekly_trimp,acute_7d,chronic_28d,ac_ratio
2019-02-19,1.5833333333333333,1.5833333333333333,,
2019-04-09,0.0,0.0,,
2019-04-16,0.05,0.05,,
2019-04-23,1.4,1.4,0.7583333333333333,1.846153846153846
2019-06-04,0.31666666666666665,0.31666666666666665,0.44166666666666665,0.7169811320754716
2019-07-02,0.0,0.0,0.44166666666666665,0.0
2019-09-03,1.65,1.65,0.8416666666666666,1.9603960396039606
2019-09-17,0.016666666666666666,0.016666666666666666,0.4958333333333333,0.033613445378151266
2019-12-10,0.0,0.0,0.41666666666666663,0.0
2019-12-31,149.86666666666667,149.86666666666667,37.88333333333333,3.9560052793664764
2020-01-07,114.33333333333333,114.33333333333333,66.05416666666666,1.730902668264682
2020-03-03,16.03333333333333,16.03333333333333,70.05833333333334,0.2288569049601522
2020-03-17,11.233333333333333,11.233333333333333,72.86666666666666,0.15416285452881975
2020-04-14,0.0,0.0,35.4,0.0
2020-06-30,13.133333333333333,13.133333333333333,10.1,1.3003300330033003
2020-08-18,23.05,23.05,11.854166666666666,1.9444639718804924
2020-09-15,0.33333333333333337,0.33333333333333337,9.129166666666666,0.03651300775901416
2020-10-27,0.25,0.25,9.191666666666666,0.027198549410698096
2020-11-03,5.333333333333333,5.333333333333333,7.241666666666665,0.7364787111622556
2020-11-10,6.166666666666667,6.166666666666667,3.020833333333333,2.0413793103448277
2020-11-17,2.7666666666666666,2.7666666666666666,3.6291666666666664,0.7623421354764639
2020-12-01,2.266666666666667,2.266666666666667,4.133333333333333,0.5483870967741937
2021-01-05,0.31666666666666665,0.31666666666666665,2.879166666666667,0.10998552821997104
2021-01-12,0.8,0.8,1.5375,0.5203252032520325
2021-01-19,0.6833333333333333,0.6833333333333333,1.0166666666666668,0.6721311475409835
2021-01-26,0.21666666666666667,0.21666666666666667,0.5041666666666667,0.4297520661157025
2021-02-02,0.2,0.2,0.47500000000000003,0.42105263157894735
2021-02-16,0.23333333333333334,0.23333333333333334,0.33333333333333337,0.7
2021-02-23,0.26666666666666666,0.26666666666666666,0.22916666666666669,1.1636363636363636
2021-03-02,0.5333333333333333,0.5333333333333333,0.30833333333333335,1.7297297297297296
2021-03-09,0.2,0.2,0.30833333333333335,0.6486486486486487
2021-03-16,0.2,0.2,0.3,0.6666666666666667
2021-03-23,0.4,0.4,0.33333333333333337,1.2
2021-03-30,0.18333333333333335,0.18333333333333335,0.24583333333333332,0.7457627118644069
2021-04-06,0.9500000000000001,0.9500000000000001,0.43333333333333335,2.1923076923076925
2021-04-20,7.816666666666668,7.816666666666668,2.3375000000000004,3.344028520499109
2021-10-12,2.716666666666667,2.716666666666667,2.916666666666667,0.9314285714285714
2021-12-14,0.13333333333333333,0.13333333333333333,2.904166666666667,0.04591104734576757
2021-12-21,1.0666666666666667,1.0666666666666667,2.9333333333333336,0.3636363636363636
2022-02-01,0.11666666666666667,0.11666666666666667,1.0083333333333333,0.11570247933884298
2022-02-08,1.7166666666666666,1.7166666666666666,0.7583333333333333,2.2637362637362637
2022-02-15,4.183333333333334,4.183333333333334,1.7708333333333335,2.3623529411764705
2022-02-22,0.8,0.8,1.7041666666666668,0.46943765281173594
2022-03-01,0.43333333333333335,0.43333333333333335,1.7833333333333334,0.24299065420560748
2022-03-08,2.1833333333333336,2.1833333333333336,1.9000000000000004,1.1491228070175439
2022-03-22,0.6166666666666667,0.6166666666666667,1.0083333333333337,0.611570247933884
2022-03-29,5.316666666666666,5.316666666666666,2.1375,2.4873294346978554
2022-04-05,1.1,1.1,2.304166666666667,0.4773960216998191
2022-04-12,2.066666666666667,2.066666666666667,2.2750000000000004,0.9084249084249084
2022-04-19,1.65,1.65,2.5333333333333337,0.6513157894736841
2022-04-26,0.9666666666666668,0.9666666666666668,1.4458333333333337,0.6685878962536022
2022-05-03,5.466666666666667,5.466666666666667,2.5375000000000005,2.1543513957307057
2022-05-10,2.533333333333333,2.533333333333333,2.6541666666666672,0.9544740973312399
2022-05-17,3.6500000000000004,3.6500000000000004,3.1541666666666672,1.1571994715984146
2022-05-24,3.2666666666666666,3.2666666666666666,3.729166666666667,0.8759776536312849
2022-05-31,0.8,0.8,2.5625000000000004,0.31219512195121946
2022-06-21,4.15,4.15,2.9666666666666672,1.3988764044943818
2022-08-16,3.3166666666666664,3.3166666666666664,2.8833333333333337,1.1502890173410403
2022-08-23,1.7333333333333334,1.7333333333333334,2.500000000000001,0.6933333333333331
2022-10-11,0.6666666666666666,0.6666666666666666,2.4666666666666672,0.2702702702702702
2022-10-18,3.3,3.3,2.254166666666667,1.4639556377079481
2022-10-25,1.7666666666666666,1.7666666666666666,1.8666666666666671,0.9464285714285712
2022-11-22,0.7666666666666666,0.7666666666666666,1.6250000000000004,0.4717948717948716
2022-12-06,4.566666666666666,4.566666666666666,2.6000000000000005,1.756410256410256
