week,weekly_trimp
2019-02-19,1.5833333333333333
2019-04-09,0.0
2019-04-16,0.05
2019-04-23,1.4
2019-06-04,0.31666666666666665
2019-07-02,0.0
2019-09-03,1.65
2019-09-17,0.016666666666666666
2019-12-10,0.0
2019-12-31,149.86666666666667
2020-01-07,114.33333333333333
2020-03-03,16.03333333333333
2020-03-17,11.233333333333333
2020-04-14,0.0
2020-06-30,13.133333333333333
2020-08-18,23.05
2020-09-15,0.33333333333333337
2020-10-27,0.25
2020-11-03,5.333333333333333
2020-11-10,6.166666666666667
2020-11-17,2.7666666666666666
2020-12-01,2.266666666666667
2021-01-05,0.31666666666666665
2021-01-12,0.8
2021-01-19,0.6833333333333333
2021-01-26,0.21666666666666667
2021-02-02,0.2
2021-02-16,0.23333333333333334
2021-02-23,0.26666666666666666
2021-03-02,0.5333333333333333
2021-03-09,0.2
2021-03-16,0.2
2021-03-23,0.4
2021-03-30,0.18333333333333335
2021-04-06,0.9500000000000001
2021-04-20,7.816666666666668
2021-10-12,2.716666666666667
2021-12-14,0.13333333333333333
2021-12-21,1.0666666666666667
2022-02-01,0.11666666666666667
2022-02-08,1.7166666666666666
2022-02-15,4.183333333333334
2022-02-22,0.8
2022-03-01,0.43333333333333335
2022-03-08,2.1833333333333336
2022-03-22,0.6166666666666667
2022-03-29,5.316666666666666
2022-04-05,1.1
2022-04-12,2.066666666666667
2022-04-19,1.65
2022-04-26,0.9666666666666668
2022-05-03,5.466666666666667
2022-05-10,2.533333333333333
2022-05-17,3.6500000000000004
2022-05-24,3.2666666666666666
2022-05-31,0.8
2022-06-21,4.15
2022-08-16,3.3166666666666664
2022-08-23,1.7333333333333334
2022-10-11,0.6666666666666666
2022-10-18,3.3
2022-10-25,1.7666666666666666
2022-11-22,0.7666666666666666
2022-12-06,4.566666666666666
2023-01-03,48.05
2023-03-28,2.1666666666666665
2023-04-11,1.7833333333333334
2023-04-18,2.95
2023-05-02,8.0
2023-05-09,4.466666666666667
2023-05-23,10.733333333333334
2023-05-30,3.083333333333333
2023-06-13,2.4
2023-06-20,3.9499999999999997
2023-06-27,7.633333333333334
2023-07-04,13.133333333333333
2023-07-11,12.133333333333333
2023-08-08,14.466666666666665
2023-08-15,13.933333333333334
2023-08-22,2.6
2023-08-29,2.7666666666666666
2023-09-05,1.8333333333333335
2023-09-12,0.7000000000000001
2023-09-19,2.683333333333333
2023-10-03,3.2833333333333337
2023-10-17,0.9666666666666667
2023-11-07,2.333333333333333
2023-11-14,0.6
2023-12-26,2.15
2024-01-09,0.0
2024-01-16,155.86666666666667
2024-01-23,185.64999999999998
2024-01-30,109.06666666666668
2024-02-06,47.91666666666667
2024-02-13,9.583333333333332
2024-03-12,12.916666666666666
2024-03-19,4.633333333333333
2024-03-26,8.916666666666666
2024-04-02,22.216666666666665
2024-04-09,5.9
2024-04-16,1.8
2024-04-30,20.166666666666664
2024-05-07,20.683333333333334
2024-05-14,6.833333333333334
2024-05-21,5.1
2024-05-28,11.033333333333333
2024-06-04,22.483333333333334
2024-06-11,3.9000000000000004
2024-06-18,29.250000000000004
2024-06-25,5.533333333333333
2024-07-02,0.2833333333333333
2024-07-09,6.183333333333334
2024-07-16,8.65
2024-07-23,9.016666666666667
2024-08-06,7.7666666666666675
2024-08-13,7.066666666666667
2024-08-20,2.3
2024-08-27,5.3999999999999995
2024-09-03,11.933333333333334
2024-09-10,1.65
2024-09-17,0.9833333333333333
2024-09-24,10.100000000000001
2024-10-08,9.7
2024-10-29,0.9500000000000001
2024-12-31,44.53333333333333
2025-01-07,27.95
2025-02-25,2.5
2025-03-04,49.6
2025-03-18,41.55
2025-04-01,14.3
2025-04-08,16.983333333333334
2025-04-15,21.733333333333334
2025-04-22,158.56666666666666
2025-04-29,66.35000000000001
2025-05-06,46.05
2025-05-20,105.38333333333333
2025-05-27,182.56666666666666
2025-06-03,19.366666666666667
2025-06-10,6.333333333333333
2025-07-08,48.983333333333334
2025-07-15,79.36666666666667
2025-07-22,131.1
2025-07-29,45.08333333333333
2025-08-05,58.03333333333333
2025-08-12,203.96666666666664
2025-08-19,144.65
2025-08-26,124.60000000000002
