workout_id,activity,source_name,device,start_utc,end_utc,tz_offset_min,duration_sec,distance_m,energy_kcal,avg_hr_bpm,max_hr_bpm,min_hr_bpm,has_route,route_id,start_local,end_local
ebb63838db8644d22ffa69079d041370f1e32fc2,Walking,Jason’s Apple Watch,"<<HKDevice: 0xc7faa6da0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:5.2.1, creation date:2019-05-24 15:56:57 +0000>",2019-06-05 01:27:39+00:00,2019-06-05 01:56:27+00:00,-360,1727.4898049831388,,,,,,False,,2019-06-04 19:27:39-06:00,2019-06-04 19:56:27-06:00
1915d270b45e910bf866b05898b0de8455753213,Running,Jason’s Apple Watch,"<<HKDevice: 0xc7faa6da0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:5.2.1, creation date:2019-05-24 15:56:57 +0000>",2019-07-08 00:03:43+00:00,2019-07-08 00:33:22+00:00,-360,1775.079075336456,,,,,,False,,2019-07-07 18:03:43-06:00,2019-07-07 18:33:22-06:00
60ca8bf3711b0eb0fd694349aa79b4a4566aec52,Walking,Jason’s Apple Watch,"<<HKDevice: 0xc7faa6350>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:5.3.1, creation date:2019-09-06 06:33:22 +0000>",2019-09-06 15:15:20+00:00,2019-09-06 15:31:46+00:00,-360,985.4943892955778,,,,,,False,,2019-09-06 09:15:20-06:00,2019-09-06 09:31:46-06:00
e1a7a0ed97e188cb67c4b9e92fe405c6fc593e77,Walking,Jason’s Apple Watch,"<<HKDevice: 0xc7faa6350>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:5.3.1, creation date:2019-09-06 06:33:22 +0000>",2019-09-19 01:45:50+00:00,2019-09-19 04:26:53+00:00,-360,1004.6438599824907,,,,,,False,,2019-09-18 19:45:50-06:00,2019-09-18 22:26:53-06:00
4de180527d5daef5eafe34088594704792187036,Running,Peloton,,2019-12-13 23:28:26+00:00,2019-12-13 23:28:35+00:00,-360,9.0,,,,,,False,,2019-12-13 16:28:26-07:00,2019-12-13 16:28:35-07:00
dd7fe0b7dbb109f8ade119ce89fbf6ade48f8869,Running,Peloton,,2020-01-02 03:49:39+00:00,2020-01-02 03:49:46+00:00,-360,7.000000000000002,,,,,,False,,2020-01-01 20:49:39-07:00,2020-01-01 20:49:46-07:00
3f8090453c390656275f86f4e835cf80eb2148c4,Running,Peloton,,2020-01-02 04:47:03+00:00,2020-01-02 05:17:03+00:00,-360,1800.0,,,,,,False,,2020-01-01 21:47:03-07:00,2020-01-01 22:17:03-07:00
a25f558b78c2a5490f99298b73c6e56ce84dd195,Walking,Jason’s Apple Watch,"<<HKDevice: 0xc7faa7c50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:6.1.1, creation date:2019-12-12 09:29:46 +0000>",2020-01-02 04:45:16+00:00,2020-01-02 05:17:26+00:00,-360,1930.75188601017,,,,,,False,,2020-01-01 21:45:16-07:00,2020-01-01 22:17:26-07:00
1452356f26c73dabe2aabfe1082ece9c091e69fe,Running,Peloton,,2020-01-03 02:34:58+00:00,2020-01-03 02:54:58+00:00,-360,1200.0,,,,,,False,,2020-01-02 19:34:58-07:00,2020-01-02 19:54:58-07:00
d9e27b2428261ca662dc3a6fb3f753219b05081f,Running,Jason’s Apple Watch,"<<HKDevice: 0xc7faa7c50>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,4, software:6.1.1, creation date:2019-12-12 09:29:46 +0000>",2020-01-03 02:35:48+00:00,2020-01-03 02:55:35+00:00,-360,1157.8005394935606,,,,,,False,,2020-01-02 19:35:48-07:00,2020-01-02 19:55:35-07:00
