year,days,total_steps,avg_steps,goal_days,miles_est
2017,327,1230981.0,3764.467889908257,8,596.6204655324543
2018,78,56609.0,725.7564102564103,2,27.436725614226955
2019,365,3429250.0,9395.205479452055,132,1662.057116581953
2020,357,1433241.0,4014.6806722689075,42,694.6499683099905
2021,365,3051727.0,8360.895890410959,119,1479.082766848522
2022,365,5781563.0,15839.898630136986,240,2802.1543862701483
2023,365,4222166.0,11567.578082191782,156,2046.3602967676193
2024,366,5410715.0,14783.374316939891,213,2622.4152136900843
2025,241,2404023.0,9975.19917012448,92,1165.1595933736812
