date,steps,miles_est
2017-08-10,15.0,0.00727006101880274
2020-08-31,17.0,0.008239402487976439
2025-03-04,21.0,0.010178085426323834
2025-08-16,24.0,0.011632097630084381
2020-10-22,30.0,0.01454012203760548
2017-08-07,34.0,0.016478804975952877
2021-04-14,37.0,0.017932817179713425
2021-04-01,43.0,0.02084084158723452
2024-09-19,46.0,0.022294853790995068
2020-08-19,56.0,0.02714156113686356
2020-09-02,78.0,0.03780431729777425
2025-03-31,82.0,0.039743000236121644
2020-09-01,91.0,0.04410503684740329
2025-07-24,91.0,0.04410503684740329
2020-05-12,97.0,0.04701306125492438
2025-05-03,100.0,0.04846707345868493
2025-08-03,104.0,0.05040575639703233
2025-03-11,117.0,0.056706475946661374
2020-10-28,129.0,0.06252252476170356
2018-12-21,142.0,0.0688232443113326
