month,days,total_steps,avg_steps,median_steps,goal_days,miles_est
2017-01,31,121894.0,3932.064516129032,3807.0,0,59.07845452172941
2017-02,28,95785.0,3420.8928571428573,3300.0,0,46.42418631240136
2017-03,31,109356.0,3527.6129032258063,2866.0,0,53.00165285147949
2017-04,30,121421.0,4047.366666666667,3000.5,2,58.84920526426983
2017-05,31,151267.0,4879.580645161291,4299.0,3,73.31468800874893
2017-06,30,105302.0,3510.0666666666666,2860.0,0,51.03679769346441
2017-07,31,104673.0,3376.548387096774,2577.0,1,50.731939801409276
2017-08,31,101186.0,3264.064516129032,3431.0,0,49.041892949904934
2017-09,30,151836.0,5061.2,4519.5,1,73.59046565672885
2017-10,31,140310.0,4526.129032258064,3894.0,1,68.00415076988082
2017-11,12,27951.0,2329.25,2676.5,0,13.547031702437025
2017-12,11,0.0,0.0,0.0,0,0.0
2018-01,11,0.0,0.0,0.0,0,0.0
2018-02,7,0.0,0.0,0.0,0,0.0
2018-03,7,0.0,0.0,0.0,0,0.0
2018-04,6,0.0,0.0,0.0,0,0.0
2018-05,4,0.0,0.0,0.0,0,0.0
2018-06,9,0.0,0.0,0.0,0,0.0
2018-07,3,0.0,0.0,0.0,0,0.0
2018-08,7,0.0,0.0,0.0,0,0.0
2018-09,5,0.0,0.0,0.0,0,0.0
2018-10,4,0.0,0.0,0.0,0,0.0
2018-11,4,0.0,0.0,0.0,0,0.0
2018-12,11,56609.0,5146.272727272727,4599.0,2,27.436725614226955
2019-01,31,248507.0,8016.354838709677,7051.0,7,120.44407023997415
2019-02,28,247173.0,8827.607142857143,7189.0,11,119.7975194800353
2019-03,31,266230.0,8588.064516129032,7066.0,9,129.0338896690569
2019-04,30,323352.0,10778.4,10929.5,16,156.7192513701269
2019-05,31,211461.0,6821.322580645161,6156.0,4,102.48895820646975
2019-06,30,251055.0,8368.5,6851.5,8,121.67901127170146
2019-07,31,233186.0,7522.129032258064,6747.0,7,113.01842991536904
2019-08,31,333527.0,10758.935483870968,9472.0,14,161.6507760945481
2019-09,30,354915.0,11830.5,11019.0,16,172.01691376589162
2019-10,31,312611.0,10084.225806451614,10059.0,16,151.51340300992956
2019-11,30,223866.0,7462.2,7392.0,6,108.5012986690196
2019-12,31,423367.0,13657.0,11427.0,18,205.19359488983062
2020-01,31,181154.0,5843.677419354839,5869.0,2,87.8000422533461
2020-02,29,179529.0,6190.6551724137935,5729.0,3,87.01245230964247
2020-03,31,67281.0,2170.3548387096776,1510.0,1,32.60913169373781
2020-04,30,61871.0,2062.366666666667,1157.0,1,29.987063019622955
2020-05,31,73024.0,2355.6129032258063,1430.0,1,35.392595722470084
2020-06,30,136055.0,4535.166666666667,3522.5,4,65.94187679421378
2020-07,30,73622.0,2454.0666666666666,1315.0,2,35.68242882175302
2020-08,24,19550.0,814.5833333333334,685.5,0,9.475312861172904
2020-09,29,83947.0,2894.7241379310344,1110.0,1,40.68665415636224
2020-10,31,142304.0,4590.451612903225,3163.0,6,68.970584214647
2020-11,30,266130.0,8871.0,10199.0,15,128.9854225955982
2020-12,31,148774.0,4799.1612903225805,2717.0,6,72.10640386742392
2021-01,31,171594.0,5535.290322580645,4088.0,5,83.16659003069582
2021-02,28,162405.0,5800.178571428572,2796.0,6,78.71295065057726
2021-03,31,171710.0,5539.032258064516,1891.0,9,83.22281183590789
2021-04,30,131570.0,4385.666666666667,2306.5,6,63.768128549591765
2021-05,31,160363.0,5173.0,3647.0,4,77.72325301055092
